"Numri i stafit akademik dhe administrativ në Kolegjet Private sipas gjinisë 2016/2018"

"viti";"kolegji";"Të rregullt Femra";"Të rregullt Meshkuj";"Të angazhuar Femra";"Të angazhuar Meshkuj"
"2017/2018";"AAB";197;241;80;94
"2017/2018";"AUK";9;10;8;6
"2017/2018";"Biznesi";:;:;:;:
"2017/2018";"Design Factori";:;:;:;:
"2017/2018";"Fama";21;89;1;80
"2017/2018";"Europian i Kosovës";:;:;:;:
"2017/2018";"Dukagjini";17;29;-;26
"2017/2018";"Gjilani";1;5;2;7
"2017/2018";"Humanistika";:;:;:;:
"2017/2018";"IBCM";3;7;1;2
"2017/2018";"Internacional";:;:;:;:
"2017/2018";"ISPE";8;13;2;35
"2017/2018";"Juridika";3;12;4;9
"2017/2018";"Pjeter Budi";5;6;2;9
"2017/2018";"QEAP Heimerer";57;41;21;29
"2017/2018";"Rezonanca";32;63;40;38
"2017/2018";"Riinvest";9;16;5;29
"2017/2018";"Tempulli";4;20;5;32
"2017/2018";"UBT";138;435;24;77
"2017/2018";"Universi";:;:;:;:
"2017/2018";"Akademia Evolucion";16;27;2;7
"2017/2018";"Dardania";17;41;15;32
"2017/2018";"ESLG";:;:;:;:
"2017/2018";"Iliria";:;:;:;:
"2017/2018";"Universum";16;20;10;16
"2017/2018";"Vizioni për Arsim";:;:;:;:
"2017/2018";"Ekonomik i Lubljanës";:;:;:;:
"2017/2018";"Eada";:;:;:;:
"2017/2018";"Victory";:;:;:;:
"2017/2018";"Globus";:;:;:;:
"2017/2018";"Arbëri";:;:;:;:
"2017/2018";"Gjithsej";553;1075;222;528
